"x.dashed","y.dashed.lb","y.dashed.ub","x.solid","y.solid.lb","y.solid.ub"
0,47.4671669793621,47.4671669793621,0,51.031894934334,51.031894934334
0.01,47.0919324577861,48.0300187617261,0.01,50.656660412758,51.125703564728
0.02,46.6228893058161,47.8424015009381,0.02,50.375234521576,50.750469043152
0.03,46.7166979362101,48.4990619136961,0.03,49.812382739212,51.8761726078799
0.04,46.8105065666041,49.155722326454,0.04,49.906191369606,51.6885553470919
0.05,46.0600375234522,48.5928705440901,0.05,48.968105065666,52.2514071294559
0.06,46.3414634146341,49.343339587242,0.06,49.06191369606,52.3452157598499
0.07,45.1219512195122,49.718574108818,0.07,48.4052532833021,52.7204502814259
0.08,45.6848030018762,49.06191369606,0.08,48.0300187617261,53.1894934333959
0.09,45.4033771106942,49.437148217636,0.09,48.1238273921201,54.0337711069418
0.1,45.2157598499062,50.093808630394,0.1,47.4671669793621,54.4090056285178
0.11,44.6529080675422,50.46904315197,0.11,46.9981238273921,54.6904315196998
0.12,44.9343339587242,50.844277673546,0.12,46.6228893058161,54.5966228893058
0.13,43.5272045028143,50.93808630394,0.13,47.1857410881801,54.8780487804878
0.14,44.4652908067542,51.031894934334,0.14,46.1538461538462,55.8161350844278
0.15,43.2457786116323,51.6885553470919,0.15,45.5909943714822,55.2532833020638
0.16,43.1519699812383,51.5009380863039,0.16,45.4033771106942,56.2851782363977
0.17,43.4333958724203,51.7823639774859,0.17,45.2157598499062,56.1913696060037
0.18,42.9643527204503,52.6266416510319,0.18,45.0281425891182,56.0975609756098
0.19,42.4015009380863,52.5328330206379,0.19,44.6529080675422,56.8480300187617
0.2,42.1200750469043,52.7204502814259,0.2,43.9962476547842,57.5984990619137
0.21,41.8386491557223,53.0018761726079,0.21,44.1838649155722,57.4108818011257
0.22,41.5572232645403,52.8142589118199,0.22,43.8086303939962,57.8799249530957
0.23,41.2757973733583,53.6585365853659,0.23,43.5272045028143,57.7861163227017
0.24,41.4634146341463,53.8461538461538,0.24,43.6210131332083,58.1613508442777
0.25,41.3696060037523,54.1275797373358,0.25,42.8705440900563,58.7242026266417
0.26,41.0881801125704,54.8780487804878,0.26,42.6829268292683,59.0994371482176
0.27,40.6191369606004,54.9718574108818,0.27,42.9643527204503,59.1932457786116
0.28,40.2439024390244,55.0656660412758,0.28,42.1200750469043,60.0375234521576
0.29,40.0562851782364,55.1594746716698,0.29,42.2138836772983,60.4127579737336
0.3,39.6810506566604,55.4409005628518,0.3,41.7448405253283,60.2251407129456
0.31,39.5872420262664,56.0975609756098,0.31,41.6510318949343,61.2570356472795
0.32,39.1181988742964,56.2851782363977,0.32,41.5572232645403,61.1632270168856
0.33,38.9305816135084,56.4727954971857,0.33,41.0881801125704,61.6322701688555
0.34,38.5553470919325,56.9418386491557,0.34,40.8067542213884,61.7260787992495
0.35,38.4615384615385,56.7542213883677,0.35,40.5253283302064,61.9136960600375
0.36,38.0863039399625,57.7861163227017,0.36,40.3377110694184,62.3827392120075
0.37,37.8986866791745,57.4108818011257,0.37,39.8686679174484,62.8517823639775
0.38,37.5234521575985,57.8799249530957,0.38,39.6810506566604,63.5084427767355
0.39,37.4296435272045,58.3489681050657,0.39,40.1500938086304,63.7898686679174
0.4,36.8667917448405,58.0675422138837,0.4,39.2120075046904,63.6960600375235
0.41,37.0544090056285,58.6303939962477,0.41,39.1181988742964,63.3208255159475
0.42,36.0225140712946,59.2870544090056,0.42,38.6491557223265,64.2589118198874
0.43,36.2101313320826,58.8180112570356,0.43,38.3677298311445,64.9155722326454
0.44,35.2720450281426,59.6622889305816,0.44,38.2739212007505,64.8217636022514
0.45,35.4596622889306,59.8499061913696,0.45,38.1801125703565,65.1969981238274
0.46,34.9906191369606,60.2251407129456,0.46,37.6172607879925,65.3846153846154
0.47,34.8968105065666,60.7879924953096,0.47,37.5234521575985,66.0412757973734
0.48,34.0525328330206,61.4446529080675,0.48,37.2420262664165,66.5103189493433
0.49,34.6153846153846,61.5384615384615,0.49,36.9606003752345,66.6041275797373
0.5,33.8649155722326,61.6322701688555,0.5,37.0544090056285,66.8855534709193
0.51,33.9587242026266,62.2889305816135,0.51,36.7729831144465,67.4484052532833
0.52,33.2082551594747,61.8198874296435,0.52,36.1163227016886,67.7298311444653
0.53,32.2701688555347,63.0393996247655,0.53,35.6472795497186,67.8236397748593
0.54,32.9268292682927,63.1332082551595,0.54,35.8348968105066,68.0112570356473
0.55,32.4577861163227,63.5084427767355,0.55,35.3658536585366,68.5741088180113
0.56,31.9887429643527,64.1651031894934,0.56,34.6153846153846,69.0431519699812
0.57,31.8011257035647,64.5403377110694,0.57,35.0844277673546,69.6060037523452
0.58,31.1444652908068,64.4465290806754,0.58,34.8030018761726,69.8874296435272
0.59,31.0506566604128,65.7598499061914,0.59,34.9906191369606,70.2626641651032
0.6,30.4878048780488,65.1969981238274,0.6,34.2401500938086,70.5440900562852
0.61,30.3001876172608,65.4784240150094,0.61,33.8649155722326,71.3883677298311
0.62,29.3621013133208,66.1350844277674,0.62,33.4896810506567,70.9193245778612
0.63,28.8930581613508,66.3227016885554,0.63,33.5834896810507,71.9512195121951
0.64,29.1744840525328,66.8855534709193,0.64,33.2082551594747,72.4202626641651
0.65,29.5497185741088,68.1988742964353,0.65,32.6454033771107,73.5459662288931
0.66,28.3302063789869,67.6360225140713,0.66,32.5515947467167,73.1707317073171
0.67,27.7673545966229,68.6679174484053,0.67,32.3639774859287,74.015009380863
0.68,27.4859287054409,68.8555347091933,0.68,31.9887429643527,74.484052532833
0.69,27.2045028142589,69.0431519699812,0.69,31.4258911819887,75.046904315197
0.7,26.3602251407129,69.6998123827392,0.7,31.3320825515947,75.422138836773
0.71,26.172607879925,69.7936210131332,0.71,31.1444652908068,75.984990619137
0.72,25.797373358349,70.3564727954972,0.72,30.5816135084428,76.4540337711069
0.73,25.328330206379,70.4502814258912,0.73,30.3001876172608,77.8611632270169
0.74,25.140712945591,71.2007504690432,0.74,29.8311444652908,78.7054409005628
0.75,24.296435272045,71.6697936210131,0.75,29.7373358348968,79.2682926829268
0.76,24.108818011257,72.5140712945591,0.76,29.4559099437148,79.7373358348968
0.77,23.5459662288931,73.7335834896811,0.77,29.1744840525328,80.4878048780488
0.78,23.1707317073171,72.8893058161351,0.78,28.7054409005629,83.0206378986867
0.79,22.7954971857411,74.202626641651,0.79,28.3302063789869,82.6454033771107
0.8,21.8574108818011,74.577861163227,0.8,27.6735459662289,88.2739212007505
0.81,21.4821763602251,75.515947467167,0.81,27.5797373358349,90.2439024390244
0.82,21.1069418386492,76.5478424015009,0.82,26.3602251407129,97.9362101313321
0.83,20.5440900562852,76.4540337711069,0.83,26.078799249531,94.4652908067542
0.84,19.3245778611632,77.2983114446529,0.84,25.797373358349,99.53095684803
0.85,18.5741088180113,78.3302063789869,0.85,24.577861163227,99.624765478424
0.86,18.2926829268293,79.3621013133208,0.86,24.015009380863,99.718574108818
0.87,17.2607879924953,79.6435272045028,0.87,23.0769230769231,99.812382739212
0.88,16.0412757973734,81.1444652908067,0.88,23.4521575984991,99.812382739212
0.89,16.2288930581614,82.1763602251407,0.89,22.1388367729831,99.906191369606
0.9,15.0093808630394,83.7711069418387,0.9,19.9812382739212,99.906191369606
0.91,13.9774859287054,84.6153846153846,0.91,18.1988742964353,99.906191369606
0.92,12.7579737335835,84.3339587242026,0.92,17.1669793621013,99.906191369606
0.93,11.7260787992495,87.2420262664165,0.93,16.4165103189493,99.906191369606
0.94,10.1313320825516,87.5234521575985,0.94,10.6003752345216,100
0.95,8.53658536585366,90.0562851782364,0.95,8.63039399624765,100
0.96,7.4108818011257,91.0881801125704,0.96,0,100
0.97,4.31519699812383,94.6529080675422,0.97,0.938086303939963,100
0.98,2.06378986866792,96.9043151969981,0.98,0.938086303939963,100
0.99,0.281425891181989,100,0.99,0.938086303939963,100
1,0.281425891181989,100,1,0.938086303939963,100
